ALGORITHM EXECUTION TIMES IN SECONDS for: 1, 2, 6, 12, 24, 48, 60, 
Alg 	Amount 	time1 	time2 	time3 	time4 	time5 	time6 	time7 	time8 	time9 	time10 	AvgTime (ms)
naive	1	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000374
naive	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000267
naive	3	0.000001	0.000003	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.001075
naive	4	0.000004	0.000002	0.000002	0.000005	0.000002	0.000002	0.000003	0.000002	0.000002	0.000002	0.002651
naive	5	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007	0.000007	0.007024
naive	6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000271
naive	7	0.000022	0.000019	0.000021	0.000021	0.000021	0.000025	0.000019	0.000021	0.000021	0.000021	0.020973
naive	8	0.000065	0.000059	0.000063	0.000060	0.000064	0.000061	0.000060	0.000071	0.000061	0.000059	0.062345
naive	9	0.000186	0.000187	0.000184	0.000180	0.000189	0.000185	0.000336	0.000186	0.000185	0.000185	0.200159
naive	10	0.000556	0.000554	0.000549	0.000558	0.000551	0.000561	0.000559	0.000554	0.000557	0.000551	0.554772
naive	11	0.001668	0.001662	0.001661	0.001671	0.001662	0.001663	0.001667	0.001663	0.001715	0.001802	1.683425
naive	12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000289
naive	13	0.005004	0.004981	0.004985	0.004965	0.004993	0.005071	0.005306	0.005112	0.005074	0.005004	5.049560
naive	14	0.015292	0.015066	0.015067	0.015173	0.015474	0.015279	0.015236	0.015153	0.015169	0.015514	15.242200
naive	15	0.045810	0.045264	0.045244	0.045924	0.045170	0.046620	0.044950	0.045346	0.045272	0.044975	45.457630
naive	16	0.135552	0.135451	0.135650	0.134640	0.134151	0.134184	0.134411	0.134337	0.134518	0.139677	135.257123
naive	17	0.422615	0.407575	0.402281	0.407807	0.397034	0.396685	0.401904	0.400247	0.401635	0.401197	403.898086
naive	18	1.221770	1.259952	1.237710	1.304043	1.236663	1.198389	1.234829	1.191712	1.190109	1.189942	1226.511943
greedy	1	0.000060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006211
greedy	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000237
greedy	3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000250
greedy	4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000235
greedy	5	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000504
greedy	6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000226
greedy	7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000240
greedy	8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000233
greedy	9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000239
greedy	10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000235
greedy	11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000242
greedy	12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000227
greedy	13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000000	0.000434
greedy	14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000230
greedy	15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000249
greedy	16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000236
greedy	17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000242
greedy	18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000236
dynamic	1	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000340
dynamic	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000345
dynamic	3	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000391
dynamic	4	0.000001	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000617
dynamic	5	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000470
dynamic	6	0.000001	0.000001	0.000001	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000516
dynamic	7	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000561
dynamic	8	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000621
dynamic	9	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000657
dynamic	10	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000687
dynamic	11	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000782
dynamic	12	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000003	0.000964
dynamic	13	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000844
dynamic	14	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000929
dynamic	15	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000990
dynamic	16	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.001038
dynamic	17	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.001109
dynamic	18	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.000001	0.001149


ALGORITHM EXECUTION TIMES IN SECONDS for: 1, 5, 10, 25, 50, 
Alg 	Amount 	time1 	time2 	time3 	time4 	time5 	time6 	time7 	time8 	time9 	time10 	AvgTime (ms)
naive	1	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000287
naive	2	0.000003	0.000001	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000000	0.000001	0.000742
naive	3	0.000001	0.000001	0.000001	0.000003	0.000001	0.000001	0.000001	0.000001	0.000001	0.000003	0.001534
naive	4	0.000003	0.000005	0.000003	0.000005	0.000003	0.000005	0.000003	0.000005	0.000003	0.000005	0.004041
naive	5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000265
